,ID,RA,DEC,z,z_Err,flag,source,comments,totobs,totexp
547,b'020173030',36.47453,-4.622297,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
548,b'020173572',36.525904,-4.617002,0.148,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
549,b'020173677',36.767932,-4.616963,0.789,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
550,b'020174052',36.880367,-4.616004,0.535,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
551,b'020174106',36.472872,-4.617488,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
552,b'020174135',36.77379,-4.617771,0.0,-9.999,b'23',b'VVDS_DEEP',b'-',-9,-9
553,b'020174204',36.543802,-4.615587,1.212,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
554,b'020174309',36.829249,-4.615502,1.499,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
555,b'020174420',36.814101,-4.614973,0.14,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
556,b'020174438',36.668936,-4.618219,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
557,b'020174584',36.440314,-4.614669,0.559,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
558,b'020174795',36.396919,-4.614817,0.73,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
559,b'020174880',36.44309,-4.614028,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
560,b'020175019',36.64606,-4.61842,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
561,b'020175168',36.360015,-4.613781,0.894,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
562,b'020175186',36.487567,-4.613484,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
563,b'020175397',36.740313,-4.612806,0.688,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
564,b'020175605',36.339864,-4.612362,0.327,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
565,b'020175617',36.483522,-4.612778,0.905,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
566,b'020175739',36.500839,-4.612118,1.381,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
567,b'020175804',36.562025,-4.613225,0.961,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
568,b'020175805',36.578737,-4.611784,0.67,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
569,b'020176089',36.538397,-4.612886,0.876,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
570,b'020176445',36.73835,-4.61072,0.581,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
571,b'020176557',36.499001,-4.610281,1.007,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
572,b'020176565',36.366909,-4.611553,1.504,-9.999,b'13',b'VVDS_DEEP',b'-',-9,-9
573,b'020176904',36.442969,-4.609359,0.633,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
574,b'020176911',36.741838,-4.6109,0.429,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
575,b'020177090',36.430082,-4.609096,1.338,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
